Amostra;Freq;Set Power;SF;BW;Power;Consumption
20;868;14;7;0;14.64;0.092539
20;868;14;7;2;14.53;0.082001
20;868;14;12;0;14.63;0.092615
20;868;14;12;2;14.63;0.092982
20;868;22;7;0;22.03;0.138956
20;868;22;7;2;21.85;0.122646
20;868;22;12;0;22.01;0.138878
20;868;22;12;2;22.01;0.139386
20;915;14;7;0;14.39;0.092472
20;915;14;7;2;14.3;0.081933
20;915;14;12;0;14.36;0.092597
20;915;14;12;2;14.37;0.092863
20;915;22;7;0;22.41;0.142208
20;915;22;7;2;22.22;0.125483
20;915;22;12;0;22.4;0.142086
20;915;22;12;2;22.41;0.142533
20;923;14;7;0;14.29;0.092396
20;923;14;7;2;14.21;0.081861
20;923;14;12;0;14.29;0.092496
20;923;14;12;2;14.31;0.092768
20;923;22;7;0;22.43;0.141674
20;923;22;7;2;22.34;0.125068
20;923;22;12;0;22.42;0.141635
20;923;22;12;2;22.42;0.142044
21;433;14;7;0;14.61;0.088264
21;433;14;7;2;14.44;0.078213
21;433;14;12;0;14.63;0.088388
21;433;14;12;2;14.61;0.08869
21;433;22;7;0;21.84;0.141343
21;433;22;7;2;21.68;0.124759
21;433;22;12;0;21.81;0.141358
21;433;22;12;2;21.8;0.141663
21;470;14;7;0;14.78;0.093001
21;470;14;7;2;14.7;0.082362
21;470;14;12;0;14.79;0.093118
21;470;14;12;2;14.78;0.093432
21;470;22;7;0;21.58;0.145218
21;470;22;7;2;21.44;0.128184
21;470;22;12;0;21.55;0.145203
21;470;22;12;2;21.54;0.145555
21;868;14;7;0;14.62;0.092854
21;868;14;7;2;14.45;0.082286
21;868;14;12;0;14.64;0.092951
21;868;14;12;2;14.63;0.093308
21;868;22;7;0;22.13;0.139358
21;868;22;7;2;22.08;0.123018
21;868;22;12;0;22.13;0.139373
21;868;22;12;2;22.12;0.139742
21;915;14;7;0;14.33;0.092961
21;915;14;7;2;14.21;0.082382
21;915;14;12;0;14.34;0.093115
21;915;14;12;2;14.35;0.093456
21;915;22;7;0;22.51;0.142577
21;915;22;7;2;22.39;0.125827
21;915;22;12;0;22.5;0.142479
21;915;22;12;2;22.51;0.142938
21;923;14;7;0;14.24;0.092892
21;923;14;7;2;14.16;0.082328
21;923;14;12;0;14.26;0.093044
21;923;14;12;2;14.27;0.093358
21;923;22;7;0;22.53;0.142202
21;923;22;7;2;22.42;0.125467
21;923;22;12;0;22.51;0.142077
21;923;22;12;2;22.51;0.142565
22;433;14;7;0;14.59;0.088345
22;433;14;7;2;14.44;0.078296
22;433;14;12;0;14.57;0.088479
22;433;14;12;2;14.58;0.088747
22;433;22;7;0;21.77;0.141108
22;433;22;7;2;21.59;0.124507
22;433;22;12;0;21.76;0.141006
22;433;22;12;2;21.76;0.141258
22;470;14;7;0;14.74;0.093058
22;470;14;7;2;14.57;0.082483
22;470;14;12;0;14.72;0.093176
22;470;14;12;2;14.73;0.093464
22;470;22;7;0;21.52;0.144843
22;470;22;7;2;21.41;0.127844
22;470;22;12;0;21.5;0.144724
22;470;22;12;2;21.5;0.144977
22;868;14;7;0;14.65;0.09221
22;868;14;7;2;14.55;0.081705
22;868;14;12;0;14.63;0.092273
22;868;14;12;2;14.64;0.092587
22;868;22;7;0;22.07;0.139339
22;868;22;7;2;21.9;0.122998
